,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold
2017-06-16 00:00:00+00:00,2090.5544752922015,1631.1310231738998,51.224637545450435,65.32652066062373,132.40522989804185,190.92664676209182,-58.52141686404997,68.28835320986799,72.11228495192331,1,0,0,0,0,0
2017-06-17 00:00:00+00:00,2114.4314292068016,1645.2733521432997,56.32978591445408,64.53237744963742,127.72483583975145,178.28628457762375,-50.5614487378723,67.30986846106508,69.25412614309904,1,0,0,0,0,0
2017-06-18 00:00:00+00:00,2135.7848388756015,1659.0963521430997,52.39008948487983,63.38859793035547,113.44066720776027,165.31716110365105,-51.876493895890775,65.14908487005083,66.9157688469946,1,0,0,0,0,0
2017-06-19 00:00:00+00:00,2158.7439853026012,1673.1767231005997,55.06439128877839,62.37083652169729,108.1956803850012,153.89286495992107,-45.69718457491987,64.49666790601812,65.65187374571131,1,0,0,0,0,0
2017-06-20 00:00:00+00:00,2181.5039853630014,1687.6127231306998,57.47269425578091,61.25714135688926,109.6302311519562,145.0403381983281,-35.410107046371905,63.51598403880737,64.38724560495874,1,0,0,0,0,0
2017-06-21 00:00:00+00:00,2202.665845363001,1701.4427231307,55.65762637256366,59.743014602242035,105.67575950530318,137.16742245972313,-31.49166295441995,63.90913443472063,63.973928793182004,1,0,0,0,0,0
2017-06-22 00:00:00+00:00,2223.8209727600015,1715.7164868293999,57.27354909407587,59.08191021057333,105.63118860931809,130.86017568964212,-25.228987080324032,63.254195572045674,63.55977134852452,1,0,0,0,0,0
2017-06-23 00:00:00+00:00,2245.1430013276013,1729.8505071317998,57.13172023253467,58.19604087759346,104.12315411589043,125.51277137489178,-21.389617259001355,61.889855941764715,63.0177286495103,1,0,0,0,0,0
2017-06-24 00:00:00+00:00,2264.3172454320015,1743.2253275164999,50.49093159685769,56.82707282222188,88.4715728480951,118.10453166953245,-29.632958821437356,57.80947267741141,60.984508063740556,1,0,0,0,0,0
2017-06-25 00:00:00+00:00,2281.9511763060013,1757.3243511205,49.61153159824301,55.41532681825866,73.31971493927404,109.14756832348077,-35.82785338420673,53.41888628649314,57.70607163522305,1,0,0,0,0,0
2017-06-26 00:00:00+00:00,2297.4539547044014,1771.6172403168002,46.48291328997552,53.60911919946257,53.86325876228557,98.09070641124173,-44.22744764895616,53.30922499536114,54.84586131975519,1,0,0,0,0,0
2017-06-27 00:00:00+00:00,2313.5404676206012,1786.5662403168003,50.994844001910934,53.23664397650067,47.15651163555913,87.9038674561052,-40.747355820546076,53.757795254354384,53.49530217873618,1,0,0,0,0,0
2017-06-28 00:00:00+00:00,2328.630188825201,1801.3274403163005,51.110930657229424,52.67789572490463,41.60385777199235,78.64386551928263,-37.040007747290275,57.34168571753609,54.80290198908383,1,0,0,0,0,0
2017-06-29 00:00:00+00:00,2341.9996832896013,1814.8323875717006,49.246335725635866,52.65032550877783,33.227495964217724,69.56059160826965,-36.33309564405192,59.604921246222695,56.901467406037675,1,0,0,0,0,0
2017-06-30 00:00:00+00:00,2353.3220343916014,1828.6920014478007,47.37311904609301,52.523673340297606,22.71130542998708,60.190734372613136,-37.47942894262606,61.08154960095028,59.34271885490298,1,0,0,0,0,0
2017-07-01 00:00:00+00:00,2365.538757145001,1841.807425181401,44.25350644843337,52.058931267163146,8.061362350234049,49.764859968137316,-41.70349761790327,58.564786563047484,59.750419136740106,1,0,0,0,0,0
2017-07-02 00:00:00+00:00,2377.866381751001,1856.767958437801,48.602794126362156,51.543798481290345,3.832322128202577,40.578352400150365,-36.74603027194779,57.77003910517858,59.138791756392074,1,0,0,0,0,0
2017-07-03 00:00:00+00:00,2392.075535933001,1872.413027212501,52.81990590996596,51.572452909629426,8.284536875748472,34.11958929526999,-25.835052419521517,57.13629027410519,57.823705314110384,1,0,0,0,0,0
2017-07-04 00:00:00+00:00,2408.2535694668013,1888.5825531340008,54.604053837992474,51.541763746243696,15.151787739771862,30.326028984170364,-15.174241244398502,57.61978462402781,57.508704667770495,1,0,0,0,0,0
2017-07-05 00:00:00+00:00,2424.495570521401,1904.1710536637008,55.40077679632339,51.4036359156132,21.883093494208424,28.637441886177974,-6.75434839196955,59.80000096463256,58.18535862092182,1,0,0,0,0,0
2017-07-06 00:00:00+00:00,2438.834484694601,1919.6470461716008,54.903421182293336,51.35335556959517,26.177267471795858,28.14540700330155,-1.9681395315056918,61.042190565446695,59.487325384702324,1,0,0,0,0,0
2017-07-07 00:00:00+00:00,2449.454668731801,1933.978585181601,48.874948456096575,50.79344886039656,19.926606962249934,26.501646995091228,-6.575040032841294,58.47160753671862,59.771266355599266,1,0,0,0,0,0
2017-07-08 00:00:00+00:00,2461.1001193842008,1949.065319610301,52.533102694193865,50.486874357840506,20.874423523235237,25.37620230072003,-4.501778777484795,61.7192931155064,60.41103040589055,1,0,0,0,0,0
2017-07-09 00:00:00+00:00,2469.082414177401,1962.983274526501,48.772870711660836,50.37233696549405,15.303864069725478,23.361734654521122,-8.057870584795644,61.546580199528556,60.57916028391784,1,0,0,0,0,0
2017-07-10 00:00:00+00:00,2474.8624141794007,1975.2245256569006,42.22841290574037,49.88012905266054,-1.4492185057561073,18.399544022465676,-19.848762528221783,60.298372519957375,61.188081944997414,1,0,0,0,0,0
2017-07-11 00:00:00+00:00,2478.742324645601,1986.9981560523008,40.8406595364124,49.503978802423006,-17.430489681466952,11.233537281679151,-28.664026963146103,57.60528899802354,59.81674723916979,1,0,0,0,0,0
2017-07-12 00:00:00+00:00,2481.362925507001,1999.2574060521008,45.743443173942595,49.153885413891786,-22.41938503541178,4.502952818260965,-26.922337853672744,56.53280698266075,58.14548950021386,1,0,0,0,0,0
2017-07-13 00:00:00+00:00,2480.012578963401,2011.0909956576006,43.68003446663392,48.658492334518755,-29.954110690890957,-2.3884598835694195,-27.56565080732154,54.33083057981931,56.15630885350117,1,0,0,0,0,0
2017-07-14 00:00:00+00:00,2479.930724966201,2021.7500686599005,38.959642434120724,47.97271278175108,-45.197155375487,-10.950198981952937,-34.24695639353406,51.08864149198609,53.984093018155356,1,0,0,0,0,0
2017-07-15 00:00:00+00:00,2476.864166109401,2029.5851507332006,31.959396103873917,46.9451312522698,-74.84516982426749,-23.729193150415846,-51.11597667385164,47.936956331363945,51.11880946772308,1,0,0,0,0,0
2017-07-16 00:00:00+00:00,2475.926846107401,2036.8682507324008,30.620830292626238,46.036286175216,-101.33697408978742,-39.25074933829016,-62.086224751497255,45.09746241296237,48.04102007877077,1,0,0,0,0,0
2017-07-17 00:00:00+00:00,2479.247836106601,2047.2028553496011,44.92994559342742,45.79142960635368,-97.2256130490432,-50.84572208044077,-46.37989096860243,44.147843293522214,45.72742067928281,1,0,0,0,0,0
